City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
3933104,Pangoa,2,PE,1601532556,78,-12.12,-73.0,66.4,3.04
2020838,Lensk,31,RU,1601532556,62,60.73,114.93,40.06,3.69
3386213,Touros,40,BR,1601532557,100,-5.2,-35.46,71.6,3.36
1649150,Bengkulu,92,ID,1601532557,78,-3.8,102.27,83.82,9.78
3182340,Barletta,0,IT,1601532356,93,41.31,16.29,59.0,4.7
3690582,Abriaquí,80,CO,1601532558,100,6.63,-76.06,54.55,0.96
3870282,Talcahuano,0,CL,1601532309,86,-36.72,-73.12,41.0,4.7
4231997,Avera,1,US,1601532558,77,33.19,-82.53,55.4,4.38
3893629,Coquimbo,0,CL,1601532559,81,-29.95,-71.34,51.8,3.36
5850511,Makaha,1,US,1601532559,65,21.47,-158.22,82.4,8.05
2192362,Christchurch,72,NZ,1601532500,54,-43.53,172.63,55.4,14.99
591276,Koeru,99,EE,1601532559,82,58.96,26.03,50.77,6.38
4006532,Esqueda,0,MX,1601532560,27,30.72,-109.58,66.2,1.41
4033557,Tautira,20,PF,1601532560,69,-17.73,-149.15,80.6,3.36
1623197,Tual,95,ID,1601532560,79,-5.67,132.75,81.59,17.56
1513491,Yangi Marg`ilon,0,UZ,1601532561,58,40.43,71.72,59.0,4.7
1736309,Alor Star,40,MY,1601532561,79,6.12,100.36,87.8,5.82
2125693,Evensk,55,RU,1601532562,76,61.95,159.23,46.74,2.68
373303,Juba,53,SS,1601532562,80,4.85,31.58,78.33,0.58
5914132,Campbell River,40,CA,1601532563,93,50.02,-125.24,57.2,2.24
964432,Port Alfred,97,ZA,1601532563,75,-33.59,26.89,60.94,15.5
2063036,Port Lincoln,4,AU,1601532539,46,-34.73,135.87,67.84,11.59
1857260,Mikuni,20,JP,1601532342,64,36.22,136.15,73.4,12.75
2173125,Burnie,81,AU,1601532564,50,-41.07,145.92,59.0,11.01
3646382,Carupano,97,VE,1601532564,85,10.67,-63.26,78.35,3.76
2025256,Chumikan,0,RU,1601532565,55,54.72,135.31,56.12,10.92
2022572,Khatanga,100,RU,1601532565,98,71.97,102.5,30.52,11.99
2122605,Okhotsk,0,RU,1601532566,51,59.38,143.3,55.13,3.24
